Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,BioRad Cq,Thermo Cq,Cq Confidence,Cq Mean,Cq SD,,
1,A1,FALSE,1,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
1,A1,FALSE,1,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.420444988,31.06823256,32.34001541,0.974277816,32.34001541,,,
1,A1,FALSE,1,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.229903564,30.65117225,31.8096981,0.979712823,31.8096981,,,
10,A10,FALSE,141,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
10,A10,FALSE,141,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,1.748938668,NaN,NaN,0,,,,
10,A10,FALSE,141,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
11,A11,FALSE,157,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
11,A11,FALSE,157,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
11,A11,FALSE,157,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
12,A12,FALSE,173,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
12,A12,FALSE,173,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
12,A12,FALSE,173,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
13,A13,FALSE,189,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.485080531,25.34130752,24.80553436,0.988167938,24.80553436,,,
13,A13,FALSE,189,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.547132715,34.61832423,34.10551453,0.971614544,34.10551453,,,
13,A13,FALSE,189,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.351416058,34.73610549,31.16458511,0.963500585,31.16458511,,,
14,A14,FALSE,205,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.486424104,25.43874575,24.82336044,0.986885323,24.82336044,,,
14,A14,FALSE,205,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.435359973,31.76632131,32.92294693,0.96489873,32.92294693,,,
14,A14,FALSE,205,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.663882947,NaN,NaN,0,,,,
15,A15,FALSE,219,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.414829804,24.66433295,25.32598877,0.981976667,25.32598877,,,
15,A15,FALSE,219,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.447187739,33.84453908,34.86578369,0.967758737,34.86578369,,,
15,A15,FALSE,219,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.332006364,34.61211577,30.41455269,0.985902477,30.41455269,,,
16,A16,FALSE,235,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.440884917,25.09798245,25.25559998,0.985349415,25.25559998,,,
