Well,Fluor,Target,Content,Sample,Biological Set Name,BioRad Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A01,FAM,,Unkn,,,31.06823256,31.06823256,0,NaN,NaN,NaN,0,55,
A01,HEX,,Unkn,,,30.65117225,30.65117225,0,NaN,NaN,NaN,0,55,
A01,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A02,FAM,,Unkn,,,33.29771534,33.29771534,0,NaN,NaN,NaN,0,55,
A02,HEX,,Unkn,,,32.95962363,32.95962363,0,NaN,NaN,NaN,0,55,
A02,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A03,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A03,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A04,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A04,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A05,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A05,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A06,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A06,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A07,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A07,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A08,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A08,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A09,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A09,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A10,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A10,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A11,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A11,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A12,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A12,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A13,Cy5,,Unkn,,,25.34130752,25.34130752,0,NaN,NaN,NaN,0,55,
A13,FAM,,Unkn,,,34.61832423,34.61832423,0,NaN,NaN,NaN,0,55,
A13,HEX,,Unkn,,,34.73610549,34.73610549,0,NaN,NaN,NaN,0,55,
A13,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A14,Cy5,,Unkn,,,25.43874575,25.43874575,0,NaN,NaN,NaN,0,55,
A14,FAM,,Unkn,,,31.76632131,31.76632131,0,NaN,NaN,NaN,0,55,
A14,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A14,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A15,Cy5,,Unkn,,,24.66433295,24.66433295,0,NaN,NaN,NaN,0,55,
A15,FAM,,Unkn,,,33.84453908,33.84453908,0,NaN,NaN,NaN,0,55,
A15,HEX,,Unkn,,,34.61211577,34.61211577,0,NaN,NaN,NaN,0,55,
A15,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A16,Cy5,,Unkn,,,25.09798245,25.09798245,0,NaN,NaN,NaN,0,55,
A16,FAM,,Unkn,,,32.07831805,32.07831805,0,NaN,NaN,NaN,0,55,
A16,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A16,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A17,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A17,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A17,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A17,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A18,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A18,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A18,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A19,Cy5,,Unkn,,,24.20803227,24.20803227,0,NaN,NaN,NaN,0,55,
A19,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A19,HEX,,Unkn,,,28.45237197,28.45237197,0,NaN,NaN,NaN,0,55,
A19,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A20,Cy5,,Unkn,,,25.23898369,25.23898369,0,NaN,NaN,NaN,0,55,
A20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A20,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A20,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A21,Cy5,,Unkn,,,33.85323216,33.85323216,0,NaN,NaN,NaN,0,55,
A21,FAM,,Unkn,,,21.25806651,21.25806651,0,NaN,NaN,NaN,0,55,
A21,HEX,,Unkn,,,29.04017501,29.04017501,0,NaN,NaN,NaN,0,55,
A21,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A22,Cy5,,Unkn,,,34.47765352,34.47765352,0,NaN,NaN,NaN,0,55,
A22,FAM,,Unkn,,,22.68704862,22.68704862,0,NaN,NaN,NaN,0,55,
A22,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
